Date,Time,Duration,From,To
1/03/2017,0:13:22,15:30, 5632 7446, 3303 0908
1/03/2017,0:29:13,20:49, 4976 9451,070-620-866
1/03/2017,0:36:25,11:54, 5307 3680, 8270 6606
1/03/2017,0:37:10,0:51, 8453 0899, 3909 1346
1/03/2017,0:46:11,16:38, 9090 1446, 4012 5809
1/03/2017,0:47:30,7:10, 6211 5963, 6711 1006
1/03/2017,0:53:10,12:56, 4532 6723, 8235 5718
1/03/2017,0:54:31,14:35, 8364 5339, 8372 5600
1/03/2017,0:59:22,17:25, 4031 4009, 6114 3639
1/03/2017,1:00:44,17:46, 6115 4546,040-316-866
1/03/2017,1:30:01,15:36, 5307 3680, 5640 0118
1/03/2017,1:56:52,15:24, 8771 6112, 9370 4172
1/03/2017,2:00:58,0:56, 5312 0561, 5689 4613
1/03/2017,2:12:08,19:30, 4544 6892, 5362 1240
1/03/2017,2:31:12,13:09, 5319 7827, 4595 2795
1/03/2017,2:35:10,23:26, 5632 7446, 9073 9208
1/03/2017,2:46:14,2:46, 4548 9144, 5355 5886
1/03/2017,2:58:12,13:39, 6115 4546, 9623 5188
1/03/2017,2:59:47,20:27, 4997 5822,070 7419 7885
1/03/2017,3:03:59,0:18, 6747 9584, 8401-963
1/03/2017,3:18:41,20:24, 5396 1795, 6288 9371
1/03/2017,3:20:18,9:03,620 393 943, 4364 0080
1/03/2017,4:00:31,2:16,077 5273 8067, 3171-4256
1/03/2017,4:00:42,17:44, 3583 5510,0681 681 98 53
1/03/2017,4:05:51,13:53, 6241 1295, 6760 8067
1/03/2017,4:08:51,11:50, 4548 9144, 5355 5886
1/03/2017,4:14:25,23:16,353 3756, 4055 8679
1/03/2017,4:22:55,1:53,(67) 6293-6580, 6132 3271
1/03/2017,4:25:29,4:44, 4557 0333, 9088 4005
1/03/2017,4:33:42,23:37, 4059 7191, 5331 3976
1/03/2017,4:48:45,8:32, 5377 0274, 5332 3617
1/03/2017,4:55:33,6:00, 5355 5886, 4548 9144
1/03/2017,4:57:03,17:43, 3253 9904,9152 6655
1/03/2017,5:22:08,3:45, 6736 6420, 4967 5101
1/03/2017,5:29:35,14:33, 8604 2338, 4591 8765
