TransactionID,Amount,bankfrm,bankto,date,withdrawn,bankToName
He1VzYHQBSrPq5V,5366,672148749,100776337,09/02/17,6431,Armament Financial
ADnj9l2GhzTuMZV,2538,543981401,101259433,09/02/17,9995,Fidelity Holdings Inc.
1fIvzLpxtJAPOlD,9821,3949056939,104388307,09/02/17,575,Vigor Holdings
gyN8dwHIcPL5T53,9113,458865303,112804047,09/02/17,2836,Better Life Financial Group
7dSIWSvOyv0vIja,746,9510998532,160742021,09/02/17,7932,Soul Bank Group
j1elMrBwPtVmTUg,3763,6355669477,161832415,09/02/17,6738,New Leaf Bank
CS5ySTL48CKikox,2097,4654769382,172959349,09/02/17,7400,Meridian Trust
Bpm2lphObGH09Yb,3475,2680515234,174760825,09/02/17,428,First Bank Group
YvKAHpD1BpLHRkG,6764,558415520,179675729,09/02/17,157,Joint Financial
adK70oxTfXNvF0F,4270,6667058147,184244242,09/02/17,1319,Core Bank System
XclgMnhaUbTwNMt,4863,9781954558,184441439,09/02/17,2572,Provenance Bank Group
rqtmRpZooxnoynQ,4732,294902066,186009623,09/02/17,864,Agnate Trust Corp.
fUFjI2E5iOifMhP,849,325561885,186325223,09/02/17,7313,Snowflake Holdings
b2U5foQLwOxzAz0,6481,7852606946,198549504,09/02/17,2099,Goodlife Trust Corp.
DMSMEglLE7jn7x0,2968,7162494226,199970092,09/02/17,2830,Archetype Bancorp
ARHL0hZ6TxGv1XZ,805,112804047,201123673,09/02/17,6513,Prosperity Holding Company
hLZDzQXDfH9W8nP,3735,3260624422,202921247,09/02/17,2002,Eminence Financial Corp.
zOnAcNVOV2uqjGE,9120,2724372247,208261524,09/02/17,7905,Credit Bank
nPS4U8OQERs2O65,5972,4204856292,214951316,09/02/17,7593,Boon Bank System
XXjt5IDlo4QeJrK,9893,898172217,215110714,09/02/17,4038,Credence Financial Inc.
tOnl24G2Q0WgXVc,3086,822724073,220978409,09/02/17,5047,Caliber Corporation
AxnLTAkhTiTObfV,1774,535121512,224928317,09/02/17,1670,Elysium Trust
5VVZLtxPs1k8wZh,6157,1108073832,230268013,09/02/17,9978,Aurora Credit Union
Z3YG2MFiNVRzZA2,2681,991100735,233691758,09/02/17,9003,Sky High Financial Holdings
yLl8fOza1nQmtZM,4204,2434878687,238079562,09/02/17,7111,High Rise Banks Inc.
U0pPPJpDBLO3ZtT,3980,7490548551,247130869,09/02/17,8688,Soul Financial Group
5Sj5RgkM8EPs1vs,507,326658181,254578691,09/02/17,934,Arcadia Financial Inc.
d1w64Uu7XMHcRUH,174,160742021,267241925,09/02/17,5253,Oculus Trust Corp.
xzuA6YJv4zVBIf2,1616,8838536805,267464002,09/02/17,2548,First Guaranty Bank
lWKyggYzESADE0i,7458,1626413193,272625426,09/02/17,9357,Resolution Bank
0ORijNfdeKQDYIc,1524,869887645,276906837,09/02/17,8447,Vitality Holdings
8EGi7Z6bgc47aQ9,5948,2915300275,287977188,09/02/17,5503,Core Financial Holdings
4stp6XCVK5YRXVq,2190,627161944,288080351,09/02/17,3459,Principle Financial Services
GhK4HF3WhpF28PL,6964,8718909043,294902066,09/02/17,634,Green Valley Banks Inc.
lnjRL6KsXmUpOXY,284,728480557,306442698,09/02/17,8617,Goldward Bancorp
cOWAIC3Xw7r1ISv,9183,7823126443,311320104,09/02/17,2822,New Sense Holdings Inc.
Yj71TmIgTuykNnT,4101,224928317,311408680,09/02/17,5451,Sunray Bancorp
L3V6arYDy6Hw6j0,1355,634169440,313160465,09/02/17,4255,Excellence Financial
se7P4w2jZB1gNKb,6553,8460835030,325561885,09/02/17,3071,Omega Trust Corp.
9PdlzEYJIqempft,3800,1509328181,326658181,09/02/17,3004,New Blossom Financial
KckF6KAVNislCQQ,9702,342389025,329303414,09/02/17,5541,Bastion Bank System
owlNauc2nKgp5xm,2929,7201007688,338565272,09/02/17,3893,New Heights Bank System
jQECa6JN2fL7Iuw,5656,710685696,342389025,09/02/17,3244,Paradise Financial Corp.
s6eV3QCX6vdZu9t,4646,9906535644,360421032,09/02/17,249,Citizens First Financial Group
YCegBdk0PlqbZPx,9336,198549504,363355111,09/02/17,6776,Free Citizen Financial Holdings
ALaLh0U3KO7Bpzq,8042,482165847,370335260,09/02/17,332,Polestar Financial Inc.
kDnDcH8MasLsEhG,9493,101259433,370409221,09/02/17,8926,Elysium Financial Corp.
1UDN6ttrGjAOiKo,8277,313160465,377781991,09/02/17,4729,Summit Bancshares
mbwhD0n1OFRWPx8,7701,2824435860,381533859,09/02/17,3715,New Horizon Banks Inc
yZdnJCDfPXilycM,2267,987332945,382848810,09/02/17,3049,New Edge Financial
5YElH0O7tAdcfMn,6832,921980922,383672651,09/02/17,2576,Emblem Holding Company
N5qHGhPxxbcuWrM,5742,544041631,391451308,09/02/17,7063,Purity Bancorp
1HoVdUOsKOMzNpb,1968,9414796525,393119513,09/02/17,770,Life Tree Bank Corp.
BePK2VqeKS3YI9q,2532,7025329703,393141713,09/02/17,9554,Faith Bancorp
B0xJgvZ4YEipHuj,978,974269522,395761190,09/02/17,2850,Sky High Trust
D14F4liur2ZwG3S,9578,9036985056,395830230,09/02/17,8150,Green Valley Banks Inc.
OY28JVTzbvqj7Iz,5816,1079754512,402924738,09/02/17,6479,Solace Holding Company
Vz2R5CPaOxyuv7v,4432,403608007,403608007,09/02/17,2327,Skyward Financial Inc.
dL7OimGSHNftMQx,4499,2944761102,406738386,09/02/17,5426,Domestic Trust
0lD6S9nuB8bvnRG,8188,215110714,408704187,09/02/17,9854,Ocean Bank Corp.
h9tBAP3XGVbjADO,3559,4619924415,412677199,09/02/17,722,Summit Bank
ZZpwFZW9gtVm2TW,7447,431547181,412806207,09/02/17,9035,Syndicate Financial Corp.
WA4gyp0STASMXvF,2683,5895655149,418748187,09/02/17,9436,Crown Trust Corp.
BlIRZeWtCN5KLjo,3062,620521953,431547181,09/02/17,1308,Private Bancorp
5x6lf2rLUjJb0sC,3292,5677211990,445882387,09/02/17,1356,Dominion Financial
W02P7IhTlLhjA5N,938,9314362604,455485941,09/02/17,1210,Vigor Trust
8U72LWxvRWFA0M3,1326,8985235508,458865303,09/02/17,3085,Ascension Financial Services
KnqLF1bvaFsixVV,1294,6808440964,464459893,09/02/17,2328,New Leaf Financial Corp.
Xt4LgX3QtAK1ApH,1128,7976573454,471660949,09/02/17,3528,High Rise Bank
tBCB5wRgGhLRWOT,8229,949046949,471925853,09/02/17,9687,His Majesty Bank System
vaVu4z7hkYPguJ9,1329,743473310,472395742,09/02/17,4384,Sprout Banks Inc.
94XqcLTDpHtbKrk,8202,199970092,482165847,09/02/17,8004,First Choice Bancshares
lKbL8E6lIGerxVJ,7111,3553798157,504532111,09/02/17,8850,Private Bank
VJ78gLt63j86ESl,8408,6272962053,510892132,09/02/17,6254,Obsidian Bancorp
ZWMFpQv32jCmP6G,9678,9521758201,535121512,09/02/17,4308,Elysium Holdings Inc.
4WbP5XaEAYi78N6,8072,1312582170,542699265,09/02/17,4559,Central Financial
lBertjH8cgFjzcd,2798,837871441,543981401,09/02/17,3416,Evolution Banks
VSTPMdFBZgOooAZ,4172,3863472306,544041631,09/02/17,6060,Goldward Holdings Inc.
3EiXuBJuxF7wYqw,6123,186325223,544376986,09/02/17,6635,Faith Financial Service
rApGICxDnOZE0Rs,5641,988940965,558415520,09/02/17,693,New Blossom Bancshares
4CWWBhq7rpbWCpO,4622,5378372348,559033060,09/02/17,5948,National Financial
C7zC02ghjmvb6s8,6641,5058816024,567293165,09/02/17,9115,Snowflake Bancshares
52XtbOdbq5qxvNk,6406,6038568530,569554292,09/02/17,1561,Trust Financial Inc.
S7zhScSzpSbGdpS,2744,370409221,570239796,09/02/17,9470,New Connection Bank System
almqzmTgr1kQtPq,652,7036334274,574606238,09/02/17,9772,Credence Bancorp
R0rQUCCNTqJTTHo,3068,393141713,579192946,09/02/17,7201,Diamond Holding Company
SBOHYxPpVKJPa0w,5756,9481967794,597990883,09/02/17,233,Lightning Financial
otc21R3N0JFS4Ny,9816,5773807297,607101636,09/02/17,5111,Eminence Bank Group
cYbAapQV4917ZuP,9545,247130869,620521953,09/02/17,5650,Life Essence Corporation
hiLfwoEhH0ttqw0,724,381533859,627161944,09/02/17,3025,Alpha Financial Services
